B2_Blue	B3_Green	B4_Red	B8_NIR	B11_SWIR1	B12_SWIR2	NDVI	NDWI	EVI	SAVI	Elevation	Slope	Aspect	Annual_Rainfall	LST_Celsius
829.75	1111.923076923077	1445.5384615384614	2844.6666666666665	3150.285714285714	2185.75	0.3261215	-0.43793866	0.6604929790998021	0.48912527078509	1035	0	0	367.345449924469	28.140000000000043
417.0	673.7142857142857	670.6666666666666	2795.1666666666665	1868.4	1230.5	0.6129839	-0.6115668	1.438323704639827	0.9193432060775076	1034	1	270	367.345449924469	28.140000000000043
608.0666666666667	803.6666666666666	1059.9	1889.909090909091	2406.0	1747.75	0.28137723	-0.40327153	0.5623658775152199	0.4219943056813769	1040	0	0	367.345449924469	27.79000000000002
899.2708333333333	1260.0	1713.0	2908.25	3013.0	2415.5	0.25864214	-0.39542973	0.4637987650787953	0.3879212419538053	1050	0	0	367.345449924469	28.763333333333374
864.0769230769231	1168.125	1453.2857142857142	2929.666666666667	2634.0	2071.8	0.33684623	-0.42987585	0.7139443507009036	0.5052116998451971	1073	1	90	367.345449924469	28.762000000000057
740.6470588235294	992.7142857142856	1182.090909090909	2271.3	2453.833333333333	1771.875	0.31540278	-0.39172184	0.714705532285914	0.4730356804447159	1081	2	328	367.345449924469	28.670000000000016
543.8857142857144	810.1	936.4444444444443	2486.333333333333	2516.5	1765.75	0.4528161	-0.5084991	0.962219935985368	0.6791249452279329	1086	2	328	367.345449924469	29.05000000000001
603.1052631578947	933.8571428571428	1059.7777777777778	2910.0	2548.333333333333	1795.8333333333337	0.46607703	-0.5141041	0.9745444509539744	0.6990274959770517	1033	1	0	356.97700250148773	28.81
937.4	1394.6666666666667	1890.25	3242.333333333333	2950.25	2377.5	0.26343134	-0.39846164	0.4474528967921282	0.3951085280127279	1033	1	128	356.97700250148773	27.78000000000003
766.5	1107.25	1287.1666666666663	3502.5	2263.0	1616.0	0.4625235	-0.51960516	1.011059893812849	0.6937128144462615	1031	3	68	356.97700250148773	27.370000000000005
631.8125	863.1818181818181	1045.8	2705.5	2135.5	1564.5	0.4424333	-0.51624614	0.9779724910250388	0.6635614904845674	1031	2	148	356.97700250148773	27.370000000000005
411.7142857142857	612.5882352941177	788.25	3027.0	1742.0	1164.8	0.58678985	-0.66337496	1.198565965583174	0.8800694489943	1032	3	157	367.345449924469	26.826000000000025
587.4444444444445	860.5555555555555	1203.5	2472.0	1973.0	1638.0	0.3451231	-0.48354617	0.5996879826026663	0.517614254624592	1036	2	32	367.345449924469	26.845000000000027
537.7058823529412	800.95	928.0	2742.0	2174.857142857143	1527.0	0.49427792	-0.54786265	1.0600237867715303	0.7413158970167552	1049	1	308	367.345449924469	26.83000000000004
590.3125	817.9166666666666	977.5625	2575.6	2320.222222222222	1605.8	0.44975075	-0.51795334	0.995133426015154	0.6745312054816686	1053	1	90	367.345449924469	27.850000000000023
536.5	780.8650793650794	1056.0	3249.5	1838.5	1501.75	0.5094646	-0.612509	0.9857983910835468	0.7641082210868555	1061	3	68	367.345449924469	28.500000000000057
550.4	720.2222222222222	915.7142857142856	2001.6	2225.833333333333	1582.7142857142858	0.37222102	-0.4707794	0.8058196436295172	0.5582358614814416	1072	1	180	367.345449924469	29.05800000000005
467.0	720.0	975.3333333333334	3366.5	1966.5	1486.0	0.5507274	-0.6476202	1.0456387382659902	0.8259960082904737	1060	2	32	367.345449924469	28.466000000000008
550.5	794.2222222222222	637.9	3841.0	2407.0	1358.0	0.7151533	-0.65730995	2.2616609944501715	1.0726101710050453	1046	3	112	347.9624654054642	28.325000000000045
492.0	737.7083333333333	899.7	3125.5	1996.75	1425.0	0.5529663	-0.61808515	1.150950420915465	0.8293464490647591	1040	1	308	347.9624654054642	27.620000000000005
670.0	928.125	1195.571428571429	2226.142857142857	2284.0	1744.3333333333333	0.3011857	-0.4115116	0.5888210519442356	0.4517125503537809	1037	1	52	347.9624654054642	26.83000000000004
675.7368421052631	986.0	1247.0555555555557	2494.5	2512.1428571428573	1983.3857142857144	0.33340263	-0.43341473	0.6351799775363067	0.5000371156672654	1030	1	90	347.9624654054642	26.798
933.1764705882352	1222.448051948052	1438.111111111111	3220.0	2711.375	2038.3333333333333	0.38253465	-0.44965115	0.918339780565066	0.5737403851887186	1030	1	270	330.80654072761536	27.78000000000003
877.75	1175.5	1335.6	3423.0	2463.5	1789.0	0.43865842	-0.48874635	1.0749875115228735	0.6579185140047488	1030	1	180	330.80654072761536	27.720000000000027
653.3333333333334	920.5	1069.1666666666667	3531.0	2232.0	1609.0	0.5351618	-0.58643156	1.2194538009378506	0.8026554122590928	1026	1	270	330.80654072761536	26.57400000000007
934.625	1253.4	1622.4	3652.75	2675.0	2095.0	0.38488954	-0.48904946	0.7957834666269494	0.5772795769241705	1022	3	180	330.80654072761536	26.183333333333337
728.0	1131.375	1272.25	3347.0	2419.25	1812.5	0.449153	-0.4947386	0.9393959974644572	0.6736565831484388	1021	1	180	330.80654072761536	26.97750000000002
624.8571428571429	830.875	992.625	3220.75	1780.25	1200.0	0.5288219	-0.5898559	1.2403081510934393	0.7931387380973569	1016	4	162	347.9624654054642	26.970000000000027
498.0	845.8333333333334	642.25	4098.5	2280.0	1259.4	0.7290513	-0.6578575	2.0485123281175914	1.0934616398629051	1022	2	32	347.9624654054642	26.57666666666671
563.25	879.5	906.5	3697.0	2007.75	1383.5	0.6061692	-0.6156452	1.42006564718455	0.9091550825369245	1024	2	0	330.80654072761536	26.62333333333333
500.6	744.0	827.1666666666667	2777.0	1809.0	1290.6666666666667	0.5409942	-0.57739276	1.2227726911660186	0.8113787682633622	1028	0	0	347.9624654054642	26.55666666666673
476.1538461538461	735.9411764705883	874.0	3016.416666666667	2059.0	1355.4	0.5506908	-0.6077447	1.141949155437957	0.825930050759247	1032	2	148	347.9624654054642	27.203333333333376
481.0	735.9	869.5	3011.25	1875.857142857143	1359.25	0.55189073	-0.6072215	1.1585167955860876	0.8277294685990337	1034	1	0	347.9624654054642	27.620000000000005
614.8333333333334	835.6666666666666	1055.65	2287.0	2472.75	1835.3333333333333	0.3683754	-0.46477368	0.7675501477316642	0.5524804450892122	1020	1	52	347.9624654054642	27.83333333333337
511.75	777.0	907.0	3001.25	1927.5	1331.1666666666663	0.5358536	-0.58869845	1.1366658525333115	0.803677646306364	1018	3	232	347.9624654054642	27.964666666666687
362.5	559.6153846153846	514.25	3116.0	1990.0	1124.0	0.7166862	-0.6954984	1.8670613562970937	1.074881222887833	1020	2	328	347.9624654054642	28.33500000000004
