Label,B2_Blue,B3_Green,B4_Red,B8_NIR,B11_SWIR1,B12_SWIR2,NDVI,NDWI,EVI,SAVI,Elevation,Slope,Aspect,Annual_Rainfall,LST_Celsius,Longitude,Latitude
1,829.75,1111.923076923077,1445.5384615384614,2844.6666666666665,3150.285714285714,2185.75,0.3261215,-0.43793866,0.6604929790998021,0.48912527078509005,1035,0,0,367.345449924469,28.140000000000043,32.43138262916082,37.799175777888614
1,417.0,673.7142857142857,670.6666666666666,2795.1666666666665,1868.4,1230.5,0.6129839,-0.6115668,1.438323704639827,0.9193432060775075,1034,1,270,367.345449924469,28.140000000000043,32.427879199552756,37.79432487535436
1,608.0666666666667,803.6666666666666,1059.9,1889.909090909091,2406.0,1747.75,0.28137723,-0.40327153,0.5623658775152199,0.42199430568137697,1040,0,0,367.345449924469,27.79000000000002,32.42707071579705,37.78516205945635
1,899.2708333333333,1260.0,1713.0,2908.25,3013.0,2415.5,0.25864214,-0.39542973,0.4637987650787953,0.38792124195380534,1050,0,0,367.345449924469,28.763333333333378,32.423567286188984,37.778694189410686
1,864.0769230769231,1168.125,1453.2857142857142,2929.666666666667,2634.0,2071.8,0.33684623,-0.42987585,0.7139443507009036,0.5052116998451971,1073,1,90,367.345449924469,28.762000000000057,32.41709941614332,37.768453395171726
1,740.6470588235294,992.7142857142857,1182.090909090909,2271.3,2453.8333333333335,1771.875,0.31540278,-0.39172184,0.714705532285914,0.4730356804447159,1081,2,328,367.345449924469,28.670000000000016,32.41898587823997,37.76117704137035
1,543.8857142857144,810.1,936.4444444444445,2486.333333333333,2516.5,1765.75,0.4528161,-0.5084991,0.962219935985368,0.6791249452279329,1086,2,328,367.345449924469,29.05000000000001,32.421680824092334,37.75659563342135
1,603.1052631578947,933.8571428571429,1059.7777777777778,2910.0,2548.3333333333335,1795.8333333333335,0.46607703,-0.5141041,0.9745444509539745,0.6990274959770517,1033,1,0,356.97700250148773,28.810000000000002,32.435694542524594,37.80618263710474
1,937.4,1394.6666666666667,1890.25,3242.3333333333335,2950.25,2377.5,0.26343134,-0.39846164,0.4474528967921282,0.3951085280127279,1033,1,128,356.97700250148773,27.78000000000003,32.44512685300785,37.809416572127574
1,766.5,1107.25,1287.1666666666665,3502.5,2263.0,1616.0,0.4625235,-0.51960516,1.011059893812849,0.6937128144462615,1031,3,68,356.97700250148773,27.370000000000005,32.448899777201156,37.80564364793427
1,631.8125,863.1818181818181,1045.8,2705.5,2135.5,1564.5,0.4424333,-0.51624614,0.9779724910250387,0.6635614904845674,1031,2,148,356.97700250148773,27.370000000000005,32.44350988549643,37.80187072374097
1,411.7142857142857,612.5882352941177,788.25,3027.0,1742.0,1164.8,0.58678985,-0.66337496,1.198565965583174,0.8800694489943,1032,3,157,367.345449924469,26.826000000000022,32.440275950473605,37.794863864524835
1,587.4444444444445,860.5555555555555,1203.5,2472.0,1973.0,1638.0,0.3451231,-0.48354617,0.5996879826026663,0.517614254624592,1036,2,32,367.345449924469,26.845000000000027,32.43892847754743,37.786779026967764
